ls,rs,lm,rm
75,817,25,30
441,856,25,25
594,874,25,25
583,893,25,25
60,510,25,30
454,781,25,25
461,706,25,25
596,747,25,25
508,527,25,25
538,687,25,25
312,625,25,25
238,674,25,25
72,660,25,30
570,724,25,25
607,48,30,25
478,599,25,25
61,712,25,30
530,669,25,25
593,633,25,25
576,48,30,25
404,619,25,25
514,691,25,25
624,674,25,25
612,622,25,25
537,723,25,25
528,587,25,25
494,563,25,25
69,560,25,30
458,611,25,25
508,536,25,25
556,48,30,25
481,656,25,25
72,640,25,30
450,637,25,25
589,59,30,25
501,587,25,25
467,607,25,25
100,632,25,30
433,459,25,25
477,519,25,25
414,547,25,25
414,539,25,25
516,49,30,25
58,49,30,25
309,49,30,25
402,50,30,25
57,536,25,30
423,598,25,25
493,48,30,25
600,625,25,25
533,509,25,25
444,47,30,25
58,621,25,30
329,631,25,25
490,46,30,25
522,525,25,25
81,549,25,30
475,54,30,25
478,634,25,25
58,661,25,30
489,551,25,25
470,645,25,25
498,620,25,25
507,265,25,25
364,58,30,25
58,753,25,30
58,742,25,30
336,60,30,25
58,804,25,30
416,122,30,25
58,816,25,30
61,469,25,30
469,51,30,25
58,773,25,30
332,184,30,25
60,812,25,30
60,692,25,30
497,67,30,25
63,830,25,30
495,227,25,25
172,668,25,30
428,51,30,25
60,618,25,30
62,630,25,30
517,536,25,25
475,564,25,25
59,626,25,30
60,633,25,30
59,630,25,30
59,672,25,30
58,628,25,30
59,660,25,30
597,558,25,25
58,675,25,30
278,597,25,25
58,800,25,30
59,832,25,30
59,518,25,30
72,494,25,30
402,364,25,25
58,509,25,30
360,695,25,25
57,688,25,30
370,714,25,25
423,689,25,25
63,731,25,30
439,48,30,25
70,651,25,30
437,48,30,25
485,51,30,25
57,738,25,30
525,54,30,25
57,769,25,30
430,48,30,25
59,622,25,30
524,56,30,25
62,712,25,30
582,58,30,25
58,519,25,30
521,714,25,25
517,47,30,25
535,672,25,25
464,588,25,25
452,598,25,25
435,47,30,25
495,606,25,25
485,635,25,25
374,672,25,25
56,703,25,30
389,47,30,25
56,46,30,25
61,46,30,25
417,626,25,25
493,624,25,25
544,654,25,25
498,533,25,25
